text,true,pred
"well , well . . . . roeg touched a bit of a nerve there , didn't he ? he was a genius while he was cataloguing his various characters' descents into psychosis for a couple of decades , but as soon as he has the bad taste to suggest that redemption or even some good advice might be found in the bad old catholic church , the hipperthanthou alternative movie crowd gets extra vicious . worse still , theresa russell's character faced with experiences that nothing in her avowedly rationalist outlook has an explanation for , is unwillingly forced to deal with those experiences on another level that of the spiritual . you know , the realm of the ignorant and superstitious , the sort of thing that the arthouse cinephiles are supposed to be above . oh , the horror . . . so she finds her marriage the idea that it might be a uniquely important commitment affirmed by what seems uncomfortably like divine intervention . people who find this idea prima facie offensive could maybe ask themselves why they instinctively jump into attack mode at being challenged to take seriously the idea of a spiritual dimension to their lives . but they probably won't . sure , this film has some problems , notably talia shire's delirious hamwork as the overwrought nun , 1950sstyle attire and all . and the dialogue between marie davenport and the young priest in their last scene is straight out of the spellbound school of glib interpretations though hitchcock's movie escaped similar charges due to the source of wisdom having impeccably secular credentials as a freudian psychoanalyst . but , sadly , nicolas roeg appears to have copped a critical mauling as much for even asking the question as for the possible answers this film presents .",1,0
"i'm not here to tell you armored is kubrickian , hitchcockian or felliniesquire . nope . referenced directors are more like don siegel charlie varrick and walter hill the warriors . those two helmers didn't fool around with niceties like putting women in their movies . no skirts need apply . they unapologetically made guy movies . guns , lots of guns . men met violent death with a twitch of the jaw . their movies were like a sap to the head . you want a friend ? get a dog . br br armored is so a guy movie . dueling armored trucks ? bloody gunshot wounds ? exploding money ? if that doesn't get the lizard part of your brain excited , then stay away . br br at 88 minutes , armored is all muscle without an ounce of fat . we meet six security guards who drive armored trucks , three per truck . the six , led by matt dillon , scheme up a fake hijack involving two trucks . their mission one day is to deliver 42 million from the federal reserve i think . the idea is to drive both trucks to a warehouse , stash the cash , then stage a hijack . sure , the cops will suspect them , but if they stick together they'll get through it . br br trouble is , one of the six , played by columbus short , is a holdout . at first . but he faces eviction . and he's the guardian for his messed up younger brother . he needs cash bad . br br matt dillon cajoles , pleads , persuades the holdout . no blood on anyone's hands . a clean getaway . all good , no bad . you'll be rich forever . blue skies smiling at you . . . br br right . br br everything goes to hell , of course . it's one damned thing after another and the stakes keep going up . and it almost all happens claustrophobically inside an abandoned warehouse somewhere in los angeles . in fact , the movie goes out of its way to project a backdrop of industrial urban decay . i happen to like industrial urban decay . br br kudos to matt dillon , who plays the top bad dog . he goes from charming to disappointed to frustrated to outraged to totally effing insane in the course of the movie . love that guy . br br also , credit is due to the menacing , throbbing , blistering and totally sinister electronic soundtrack by john murphy . i am guessing he's heard a few tangerine dream records . br br also , it's surprising that this is a pg13 movie . i caught one one ! fbomb in this entire movie about violent toughguy robbers . on some level , i like that . take the kids . br br the director is nimrod antal , a hungarian who made a fine noir set in the budapest subway system called kontroll . screenwriter is an outofnowhere guy called james v . simpson . br br a lot of the people in this movie are just starting out . i am willing to bet the esteem given to this movie will rise as time goes on and these filmmakers advance in their careers .",1,0
"this movie probably had a 750 budget , and still managed to surpass titanic . i rented this the day i crashed my mom's car , and it was the only thing that cheered me up beyond belief ! it has to be tied with 'the assult of the killer bimbos' . things to look for are 1 . the drive in blow job chinese girl scene 2 . the bleach blonde in the sassoon shirt who never changes 3 . the flinstonelike screech out driving 4 . the clashing ensemble worn by the redhead right before she gets killed don't worry , i'm not ruining any surprises , for it's soooo predictable 5 . the guy who finds it necessary to howl . 6 . the mental patient who plays a convincing job of being insane by poking out the eyes of a maniquen . 7 . the hour long chase at the end involving the teacher and the priest . 8 . the womman writing grafitti on the bathroom wall . 9 . last , but not least , the wonderful special effectsespecially the stab in the boob that made a . . . heaven help me . . . popping noise . br br enjoy ! br br",1,0
"financially strapped paramount pulled out all the stops for this '34 stage adaptation entry big budget , large cast , extravagant production and mitch leisen tagged as the director . what happened ? two things busby berkeley didn't work for the outof focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst charlie chan first draft down the street . i have to believe that the cutting was out of leisen's hands since the great duke ellington's number is savagely chopped , but that doesn't mean that it ain't worth a look the 'sweet marihuana' number featuring topless chorus girls is a mind blower , considering the looming production code and it also has the ravishing toby wing whose unfortunately fed horrible lines and playing the prototype dumb blonde as a chorion hot for an otherwise preoccupied jack oakie . carl brisson's acting is bland as melba toast but he's a competent singer . maclaglen reaches for new plateaus as a stereotypical dumb detective . and try to spot lucy in the chorus . this rates a 7 . 0 as a curiosity . feb 2010 rethink i recently gave the film another look and now feel i was wrong to berate the lack of busby berkeley production numbers . i can understand leisen's argument for more realistic production numbers within the context of the plot . i still have enormous issues with the editing however . paramount , the raciest major studio in town , faced huge issues with the production code at the worst possible time in it's history , financially speaking , and pulled out all the stops on this one also check out 1934's search for beauty . a must see for precode buffs .",1,0
"the 1983 bbc production of jane eyre starring zelah clarke and timothy dalton love him has always been and will always be my favorite jane eyre . if you watch any other version of jane eyre without reading the book , it will be like watching some regular movie which you will forget the next day . but watching this one almost equals to reading the book . i used to watch these miniseries a lot when i was little , and they inspired me to read the book . at the time i didn't pay attention to how close this television production was to the book . recently , i watched the 1996 version of jane eyre and was very disappointed . it was only 2 hours long and didn't have many important scenes from the book such as my favorite gypsy scene . after that i fell in love with this jane eyre even more because it includes all the important scenes of the book and it just tells the whole story the other versions don't , if you haven't read the book . br br the cast of 1983 jane eyre is excellent . it's true that timothy dalton is a very handsome actor handsome enough to play butler in scarlet , and julius caesar , but he is so great as rochester that i can't imagine anybody else playing this role . and zelah clarke is , without a doubt , the only jane that follows the description of the book . the other thing that makes this film so great is the clothes and the makeup of the actors . jane looks so modest and naive , just as bronte describes her although she doesn't look 18 , but do you actually pay attention to that ? . . . br br some people say that this jane eyre is too long , but i would rather spend my whole day watching it than spend 2 hours watching some other version . some say the movie is dull and boring because jane is not passionate enough , or because there are not enough kissing scenes . i hate when they make jane eyre some hollywood movie with inappropriate kissing scenes . you don't have to include crazy , madly in love scenes to show the love between jane and rochester . and both zelah and timothy express this love so perfectly that there are no other scenes needed ! ! i am 19 years old , and many girls of my age refer to this film as boring and oldfashioned . but i can only feel sorry for them because they don't appreciate the purity and beauty of it . after all , the novel is set in 19th century , and that oldfashioned look makes it more attractive and more like the book . br br i don't think there will ever be any other version of jane ayre that will have the popularity and love of this one . no matter who plays jane and rochester in other movies , the real jane and rochester for me at least will always be zelah clarke and timothy dalton !",1,0
"i saw this when it first came to video , my little sister got it as a gift and i was probably 12 at the time . . . what stood out for me was the lack of midmovie conflict that so many movies have , where the main characters get mad at each other because when it comes time to explain themselves they just don't say the one thing that you're shouting at the screen that would make sense of the whole deal , that any person of reasonable intellect would know to say . this is what i like the most about the movie i guess , that the main characters don't do mean things to each other halfway through . . . they don't break up and make up , they just grow to like each other more as the movie goes on . br br these two kids team up and though they seem at first to be from opposite sides of the track , they're not that different . loui is actually just some middle class kid that needed to realize how lucky he was to have a loving family , and cecelia was an upper class kid that just needed to prove to her family that she existed and they would miss her if she was gone . anyway , i saw this movie posted on hulu and had to watch it again . . . sure there's plot holes if you analyze the script and no , woog and dweeb shouldn't be eating hot dogs since they would have been herbivores in reality . br br now , what detracts from the film is it's unexpected scariness . little kids under the age of 5 would probably be frightened by the scenes with dr . screweyes . and , the addition of him halfway through the movie though it's blatantly obvious in the first scene that he will make an appearance is too abrupt . . . there should be a glimpse of him doing his show earlier in the movie , perhaps to show that it's not that scary without the the dinosaurs . i guess it just lacked any real present danger for the entire first half of the movie , so that it lacks a little continuity when he appears for the second half . br br considering the target audience , who i'm sure can overlook the not so mind blowing animation and dialog issues . . . i think i'll give it a pass on those factors too , and just enjoy the story . it's a great flick for kid and it does stick in your mind . . . makes you kinda think about how you treat people and it should be revisited every 10 years i think .",1,0
"i've bought , the feast of all saints , and it's not truly a horrible movie , but a lot of things could have been better . it had a lot of historical value , played out by very talented actressactors , and it's not an everyday occurrence that actors can play out such a role and have it be somewhat believable . there were some parts that were a little mediocre and confusing , but i wouldn't say that the entire movie was horrible . once you think about that , capturing 1800's new orleans , and making something out of it , it pretty hard , and much harder to get actors who can strongly signify those parts . but the only big problem i had with the movie was that most of the actors who did play the free people of color , were mostly light skinned africans , not very universal in casting others who weren't light skinned ; one of the old creole stereotypes that still exists . whomever did the casting could have picked a wider variety when it came to hue , despite many creoles are color conscious . rather picking actors that looked near white in a sense , could have been more thought out . the actors did a great job , the script could have better written , and overall i found the performances were very believable .",1,0
"br br this is the best mock documentary of a dog show that i have seen in a long time . a very long time . well lets face it , ever . isn't that part of the charm ? the idea of actually going to the trouble to make a movie mocking a documentary about an event that most people would find odd in the first place . even if there were no big laughs , one would still be smirking at the thought . any movie that attempts something new scores highly in my proverbial book . i loved the dogs too !",1,0
"this is another of robert altman's underrated filmslet's be honest , the only movie he's made that really didn't work was ready to wear , and sandy dennis gives a spellbinding performance in it . she is far better here than she was in the out of towners . the material , i will admit , is beneath the great director altman and the extraordinary actress dennis , but that hardly matters anyway . as long as there allowed to do their thing and do it well , just about any story will do .",1,0
"ah , a kellysinatra sailorsuit musical . so familiar , right ? yes , but this isn't the one you usually hear about . on the town's thataway . but if you stick around , you might learn something . okay , probably not . anyway , anchors aweigh tells the story of two sailors on a three or fourday leave . joe is the sea wolf and clarence , the bookish type , begs joe to get him a dame . now , after they're picked up by the coppers they get little donald home . that's where they meet susie , that temptress , that jezebel . just kidding ! clarence falls in love with her . at least he thinks he does . is he right ? or is he a moron ? or is he just misguided by society ? find out all this and more when you watch trumpet fanfare anchors aweigh ! br br p . s . if you want to see kathryn grayson be anything but sickeningly sweet , try kiss me kate 1953 .",1,0
